iter	Logloss
0	0.6460488361
1	0.6053461821
2	0.5640947922
3	0.5373382568
4	0.5053260637
5	0.4793433314
6	0.4593924232
7	0.4376563197
8	0.4136639056
9	0.3967882654
10	0.381126238
11	0.3679076485
12	0.3499612394
13	0.3395424718
14	0.3271239529
15	0.3159090954
16	0.3058542998
17	0.2948444615
18	0.2862361203
19	0.2778550438
20	0.2697511134
21	0.2648013986
22	0.2590651719
23	0.2544495956
24	0.247797655
25	0.2441583302
26	0.2398611566
27	0.2338588963
28	0.229174842
29	0.2247075827
30	0.2176055286
31	0.2127347822
32	0.2075129385
33	0.2050181472
34	0.2001474837
35	0.1969612785
36	0.1907538124
37	0.1879776664
38	0.186578647
39	0.1837842775
40	0.180111118
41	0.1765407687
42	0.1751989282
43	0.1697122118
44	0.1658090716
45	0.1613203754
46	0.1602070643
47	0.1579535111
48	0.1529396513
49	0.1520238441
50	0.151157545
51	0.1492745773
52	0.1488086244
53	0.1470999303
54	0.1454649801
55	0.143226126
56	0.1416697502
57	0.1391867658
58	0.138573688
59	0.1371737563
60	0.1348531454
61	0.134579928
62	0.1323991755
63	0.1290627666
64	0.1274020568
65	0.1259870218
66	0.1230835085
67	0.1223056731
68	0.1219921112
69	0.1202724809
70	0.118491121
71	0.1179412448
72	0.1171230855
73	0.1158614159
74	0.1145058404
75	0.1134736434
76	0.11177573
77	0.1116511822
78	0.1111703126
79	0.1097888325
80	0.1096550693
81	0.108457669
82	0.1061186998
83	0.104749804
84	0.1027753664
85	0.1000822731
86	0.09916139686
87	0.09786445162
88	0.09687973105
89	0.09587436137
90	0.09427863619
91	0.09357247145
92	0.09135765615
93	0.09076990252
94	0.09038329124
95	0.08926774108
96	0.08775671669
97	0.08602859145
98	0.08560657501
99	0.08485847971
100	0.08416334442
101	0.08410784473
102	0.08276317949
103	0.08248612673
104	0.08188414574
105	0.08136311821
106	0.08088479353
107	0.078977108
108	0.07782950609
109	0.0777145676
110	0.07689941448
111	0.07591744091
112	0.07565071272
113	0.07560074848
114	0.07461621969
115	0.07431550648
116	0.07297849655
117	0.07131682272
118	0.07121702899
119	0.07061265344
120	0.07016118713
121	0.06868440172
122	0.06679764001
123	0.06624203143
124	0.06575909905
125	0.06491139661
126	0.06395140938
127	0.06290569513
128	0.06267671481
129	0.06254707212
130	0.06169275097
131	0.06115960038
132	0.06093690706
133	0.06045496982
134	0.06038786536
135	0.06014618148
136	0.05974759226
137	0.05909137104
138	0.05903202554
139	0.05799845509
140	0.05733962681
141	0.05682472561
142	0.05664061463
143	0.05535360523
144	0.05470474907
145	0.05433886466
146	0.05425392026
147	0.05403237757
148	0.05343200849
149	0.05299948609
150	0.05262726286
151	0.05210907563
152	0.05188177461
153	0.05143448063
154	0.05059023007
155	0.04997606899
156	0.04992776332
157	0.04956119475
158	0.04936151919
159	0.04922571908
160	0.04845992897
161	0.04814500394
162	0.04799290844
163	0.0477707386
164	0.04760907526
165	0.04692643103
166	0.04663429053
167	0.0461984199
168	0.04608331038
169	0.0458580722
170	0.0457478658
171	0.04534037217
172	0.04481366925
173	0.0443832045
174	0.04363675739
175	0.04307672511
176	0.04249682893
177	0.0421088623
178	0.04187703651
179	0.04165629719
180	0.04118890348
181	0.04068404177
182	0.04014683029
183	0.04002712602
184	0.03992499994
185	0.03970713719
186	0.03930821108
187	0.03887568868
188	0.03864441747
189	0.03843908206
190	0.03834276096
191	0.03823933912
192	0.03807297997
193	0.03791521684
194	0.03760555516
195	0.03735498501
196	0.03700207886
197	0.03675760912
198	0.03660679382
199	0.03634607792
200	0.03602220701
201	0.03561905415
202	0.03538526141
203	0.03515688751
204	0.03504841224
205	0.03495461526
206	0.03468880446
207	0.03442973158
208	0.03439914662
209	0.03416109603
210	0.03391633863
211	0.03378444133
212	0.03352873222
213	0.03351080158
214	0.03322064358
215	0.03293546905
216	0.03266672984
